text,gender
Ils m’ont retourné mon rapport d’impôt ! Comment ça ? À la question # 4 Avez-vous des personnes a charge?\nJ’ai répondu: 2.1 million immigrants illégaux 4.4 million de chômeurs 900 milles personnes dans 85 prisons et 650 imbéciles au Parlement Can. Maudit c est quoi j' ai oubliée?,femme
"« Du droit de rester associé dans les SAS : interrogations sur le régime des clauses d’exclusion » par le Profeseur Marie CAFFIN-MOI, codirectrice du centre DJCE de Cergy-Pontoise ",femme
"C'est tout à fait symptomatique de la façon dont les politiciens pensent l'argent mis en commun via les impôts. Au lieu de l'employer au bien social (c'est un peu pour ça qu'on cotise normalement..), ils considèrent que cet argent leur appartient et chercheront à en tirer profit",femme
AFFAIRE DES TAILLEURS GUCCI : Marie perds 7 points dans la tiers-list des personnages de Smash Bros par rapport à leur déclarations d'impôt. ,femme
Communiqué du Ministre de l'eau et de l'énergie à la suite du décès de 4 enfants à l'Extreme Nord. \nIl présente ses condoléances et précise que l'arrondissement de Tokombere va bénéficier de 66 forages cette année sur les 450 annoncés pour l'exercice 2019. pic.twitter.com/bBuEvi6Vx7,femme
Il est p’tre mort pis tant mieux on fait pas course au moins ,femme
"La famille Soma vous donne rendez-vous, ne soyez pas en retard ! \n\nL'anime #FruitsBasket commence à 19h23 sur ADN !…",femme
#AgricultureDurable Au tour d’Anne-Marie de Matos d’intervenir sur « la protection des ressources halieutiques et la réglementation européenne » ,femme
"Bonjour ,\nVente de Volailles Vivantes  ( magasin Mejan distribution\n 84 Vaucluse \nle 09/04/ 2019 de 9h/12h )\nVenez nombreux \nMerci de partager \nhttps://www.facebook.com/events/520725561792718/?ti=as …",femme
Voilà comment je vois la pp de @Neea6 depuis que ce n'est plus un oeuf,femme
"Lycée Carcouet, 1ST2S Marie et Camille préparent leur AI(activité interdisciplinaire) sur #euthanize",femme
"Hier, j'ai pu échanger avec une classe de 1ère ES du lycée Sainte-Marie Bastide avant leur visite prochaine à  l'@AssembleeNat. Divers thèmes ont été abordés : journée-type d'une députée, travail en circonscription, mais aussi la place des femmes en politique. pic.twitter.com/VUHYs7Pe5o",femme
"Bonjour ,\nVente de Volailles Vivantes  ( Magasin Jardinerie de la Source Le Vigan 30 le Gard\nle 13/04/2019 de 9h/12h )\nVenez nombreux \nMerci de partager \nhttps://www.facebook.com/events/2173065572777143/?ti=as …",femme
"#CongresMFR2019  #MFR #talents Jouer pour exprimer le ""made in MFR"" au service des parcours de réussite.",femme
"La beauté de cette photo mais surtout son sourire, j'adore !  #LiamPayne @LiamPayne",femme
"Bonjour ,\nVente de Volailles Vivantes  ( magasin Omag Mollégès \n13 Bouches-du-Rhône\nle 10/04/2019 de 9h/12h )\nVenez nombreux \nMerci de partager \nhttps://www.facebook.com/events/840949702921374/?ti=as …",femme
Les salaires à payer au gérant : un revenu disponible sous conditions… http://mon.actu.io/r/gu5da2o ,femme
"Hier soir, nous avons eu le plaisir de recevoir en Mairie et de mettre à l’honneur l’équipe masculine de boulistes de l’ASB  #Romans, championne de France Élite 2! #fiersderomans Cc: @got_damien",femme
L'historique - Bordeaux-OM en 1967 : premier #coaching gagnant http://via.amzc.news/zng9p1  #stadechabandelmas #hubertguéniche,femme
"Nous sommes revenus au temps des Misérables, dans un pays pourtant cent fois plus riche qu'au 19ème siècle.",femme
"""Une femmes âgée est morte ce matin ou cette nuit, dans la boue, près d'un matelas souillé et d'une tente Quetsha entre deux bretelles d'autoroute, là où Paris relègue et cache tout ce qui ressemble à de la misère trop voyante.""  Tribune …",femme
"Dernier jour d'entretiens avec les médiateurices de l'exposition #SuperEgaux à @Exploradome ! Le terrain pour mon mémoire est fini, place à l'écriture ! Merci à tou.te.s pour votre accueil et à @GarraudClaire de m'avoir donner l'opportunité d'étudier cette exposition :)",femme
"Lorsque une journaliste (@lmgaveriaux ) vous traite de ""petit male condescendant"", est il légitime de répondre par une ""grosse femelle"", ou est ce du machisme ?",femme
"Pour conclure, @fmbreon : ce qui est très malsain, quand on est physicien climatologue et petit mâle condescendant de son état, c'est de ne pas être foutu de lire un simple tweet de 280 signes...\nhttps://twitter.com/fmbreon/status/1114066237699522561 …",femme
"""Mais comment en sommes-nous arrivés à être aussi lâches ? Tant d’années de lutte pour l’égalité hommes-femmes ; et nous voilà complaisants avec cet islamisme rampant : en Europe, la femme aura toujours un visage."" \n@G_Peltier",femme
Une pensée pour @ClaradeBort qui a été harcelée pendant des jours par des (futurs) médecins. Certains ont même tenté de la faire virer de son travail.\n\nJuste parce qu'elle a dénoncé ça ,femme
Six étudiantes en médecine sur dix ont subi des violences sexuelles - https://www.bastamag.net/Six-etudiantes-en-medecine-sur-dix-ont-subi-des-violences-sexuelles …,femme
Les femmes entrepreneurs jouent un rôle important dans l'économie de la RDC #KIF2019\n@SennenHounton  @Faida_juliette @IPPFAR,femme
Jeux de l’#amour et..#Histoire de ma #vie conté par #Capucine #Ackermann  #Marivaux #Casanova #livres http://youtu.be/Jx2KGE9PkoY   #VendrediLecture,femme
"Au faite, \nJe suis maintenant #marié avec une personne incroyable depuis maintenant plus de 6 heure <3 <3 ",femme
"anne marie qui me dit « ça va toujours grâce à mes élèves, c’est mes poupons »  ",femme
"à la rue et qu'on te propose un logement dans une ville proche, tu dis OUI. Ou alors c'est que tu te complais dans ta situation. Il y a des gens à qui on ne propose rien du tout. Eux voudraient bien avoir cette chance. #marie #hlm  2/2",femme
Pensée pour les professeurs des écoles des enfants et le périscolaire ce soir  #Mavachou,femme
"La Réunion est très exposée au réchauffement climatique, les victimes déjà http://nombreux.ses .\n\nMais ici, pas d'analyse de l'exposition des populations, ni au climat, ni aux pesticides ni aux pollutions, et l'exploitation des ressources continue.\n\n#VotezPourLeClimat #ecocide pic.twitter.com/EFjXl81Rxt",femme
"on merite grave une saison sur un autre membre du gang, pour les voir arriver en slow-mo comme ça comme des bgs là",femme
La vierge offensée victime du même traitement qu’elle inflige elle même avec ses fake news. Arroseur arrosé?,femme
"#1J1Ancetre Le 05/04/1899 naissance aux Ponts-de-Cé (49) de Joseph Eugène HOMER, fils de Joseph Eugène et de Désirée Marie FORTIN, sosa 18 de mes enfants #genealogie",femme
"Pénitence ! Pénitence ! Pénitence ! Mot 3 fois répété par Marie lors des  Apparitions de #Lourdes. Lorsque nous prions pour les pécheurs, nous  recevons la joie de nous laisser enfanter par un Dieu qui nous aime.",femme
"#DidierMaïsto qui twittait de façon virulente et très favorable aux gilets jaunes, et qui est par ailleurs président de Sud Radio a vu son compte suspendu. Ils n'attendent même pas le vote de leurs lois de censure.",femme
À RT en masse !\n#honte sur Twitter!\nDidier Maisto a son compte de secours suspendu!\nLiberté d'expression pour Didier!\n\n…,femme
"#Gabon \n#Tourisme \n\nJ'ai rencontré hier après-midi, à l'hotêl NOMAD, le Club Tourisme de Libreville, une association des professionels du tourisme au Gabon.  (1/1)\n\n@PresidenceGA\n@Comgouv_GA",femme
ici le soleil est au rendez vous espérons qu'il sera présent tout le week-end,femme
bonjour chers amis bon vendredi ce matin la nature est bien jolie,femme
"On passe nos journées à s’indigner du Racisme alors qu’il existe au Sénégal une frange de supremaciste qui refuse que leur famille se marie à d’autres Parce qu’ils ne sont pas du même Caste"" \nLépp kèn meunouko wax...flemme ",femme
"J'ai assisté, ce jeudi 4 avril 2019 en fin d' après midi , à une réunion  présidée par le Ministre du Tourisme, Mme Marie Rose ITSANA, avec le bureau du club Tourisme de Libreville à l' hôtel Nomad. ",femme
"#1J1Ancetre Le 5 avril 1680 est né et a été baptisé à Cravant (45) Jean Genty, sosa 1504, fils d'Etienne et de Jacquette Gandon. Marié à Tavers en 1702 avec Farnçoise Cantineau, il a eu au moins 6 enfants. Il s'éteint en 1729 à Tavers. https://bit.ly/2UlrncP ",femme
"Après Yoshi qui fraude les taxes, Marie fortement suspectée de détourner l'argent public. ",femme
c une blague bts ils ont envore 2 concerts demain et apres demain... leur comeback est dans une semaine laissez les se reposer nn?,femme
Je suis le Second et Nouveau Single #TuMeLaissesAller issu du 3è Album de @NajouaBelyzel - Vous pouvez me Regarder ici : https://youtu.be/Jw-ooeP23iI   - Vous pouvez aussi me Partager !et me Télécharger ! Ne m'Oubliez pas ! --> Merci #RendezvousdelaLuneauSoleil,femme
Dernière matinale du #Marketing #Digital sur le sujet du #Transhumanisme ! \n#MatinalesMD #Angers,femme
"je suis\n\nUn monde sans merci \n\nChaque jour je diffuserai une pages de mon édition ""13""\n\nje suis la vérité absolu",femme
Cc bonjour bonne journée bisous mes amies amis de Twitter bon courage ,femme
"#Onfire 2 versions... L’une donne envie de chanter, de rire, de crier  au rythme de ses accords puissants...l’autre donne envie de se débarrasser de ses peurs une à une,de retirer l’inutile pour ne garder que l’essentiel... fort d’être debout. @L0oiic Magicien de nos émotions",femme
Joyeux anniversaire à ma centrale favorite ? On espère le 3-0 pour fêter ça ,femme
"Marie Trintignant (French actress) \nBorn: Boulogne-Billancourt, France\nDate of birth: 1962-01-21\nSpouse: Samuel Benchetrit\nhttps://www.xwhos.com/person/marie_trintignant-whois.html …",femme
"Hey la team @linagora, #linaSKI J-7! Ça se présente bien  #Arcs2000 #ParadiSKI",femme
Ce soir c’est mon 1er concert de la tournée #CeSoirOnSort \nJvous raconte pas l’excitation\n @PatrickBruelOff,femme
Merci @Europe1 et @nikosaliagas de nous parler du personnel ultra méritant des urgences. Et de la détresse que l’on a tous vécu au moins une fois face à eux... #Europe1,femme
"D’ailleurs,sur ce sujet,je relis le code d’Athènes 1965/1968/2009) et qu’est ce que je rigole! Cc @AHumbertclaude ",femme
Jour 1 de mon #7daybookchallenge. Aucun commentaire. Juste la page couverture J’ai été nommée par @NormandBrodeur.  Je lance le défi à @audsoleil!,femme
"Invitée du Festival du film citoyen #LaReunion, Marie-Monique Robin @m2rfilms explique que ""beaucoup d'#agriculteurs seraient prêts à changer de modèle si on les aidait, avec une vraie volonté politique de les soutenir"" @reunionla1ere #glyphosate https://bit.ly/2j654GI  pic.twitter.com/xxqxxtDipm",femme
Une très grande pensée à vous ! Voilà une étape à passer ou l’esprit de famille @vigneronindep doit être un vrai soutien !,femme
-2 au levée du jour et une partie de la récolte 2019 vient de disparaître. Nous pourrons faire un premier bilan d’ici 3 semaines environ. On a pas fini de stresser d’ici les vendanges ! #pasfaciletouslesjours …,femme
Quand tu te réveil et que le top tweet fr c'est carrément la tracklist du nouvel album de @PNLMusic #DeuxFreres,femme
Ernest Renan avait des idées racistes qu'ils developpe dans le livre 'La Réforme intellectuelle et morale'\nMais les historiens expliquent qu'il était de son temps.,femme
AUDIO - Marie Toussaint : “C'est important d'être auprès des victimes du réchauffement”. #LaRéunion https://www.clicanoo.re/Politique/Article/2019/04/05/AUDIO-Marie-Toussaint-Cest-important-detre-aupres-des-victimes-du …,femme
Pas sur les mêmes listes mais des mêmes terres solidaires et d'accueil! \n@salah_amokrane\n#LEmissionPolitique,femme
"Christo emballe l’Arc de triomphe : «J’adore monter ce qui semble impossible et qui, après, disparaît pour toujours» - Alors on l'emballe lui aussi et il disparaît ? - http://www.lefigaro.fr/arts-expositions/christo-emballe-l-arc-de-triomphe-j-adore-monter-ce-qui-semble-impossible-et-qui-apres-disparait-pour-toujours-20190403 … via @Figaro_Culture",femme
Vous Ecoutez KnaRadio Le Gros Son de La Caraibes @ Marie by Jean Marc PASTEL ,femme
" Mon kader, il ne faut pas douter de TOI tu es le meilleur Show man, Chroniqueur, Animateur et Producteur. Tellement mérité cette place. Récompense de tous ses efforts que tu as fourni cette saison  Et n'oublies pas tu as 2 M de #Delormers bises  pic.twitter.com/SIPfopHDUM",femme
"CÉLINE DION c’est ma vie, peut importe dans quel mood que je suis  I LOVE HER SOOOOO MUCH",femme
" Où là là, ne te fais pas de souci , toujours 1ère pour regarder TON #TPMPPeople à 17h45  @C8TV  avec TON équipe toujours au top  Fais bien ton sport et hop hop hop direction Studio......  Youhou!!!\n@Mdelormeau #loveKader Bises à vous ",femme
"Ariko rero les rwandais avec leurs noms c'est terrifiant !\nUne gamine de 5 ans au BDi\nMoi: Bite,witwa gute?\nElle: Ingabire Perla Marvella\n Au RDA , même âge ;\nMoi: Bite,witwa gute?\nElle: MBARIMWOMBAZI Marie PASCASIE !!\n\n\n But why? ",femme
"C'EST mignon ukuntu ubajije umwana wo muri Maternelle izina ,akubwira Nom et prénom ,na classe yigamwo.\n ",femme
Nouvelle notice : Mon enquête de généalogie - Le secret du soldat allemand par Marie-Odile Mergnac https://www.babelio.com/livres/Mergnac-Mon-enquete-de-genealogie-Le-secret-du-s/1136217 …,femme
"Alima de la série ""Maitresse d'un homme marié"" : Nous on travaille, on ne parle pas...' - https://senejournal.com/2019/04/04/alima-de-la-srie-maitresse-dun-homme-mari-nous-on-travaille-on-ne-parle-pas/ …",femme
"Sensei répond aux détracteurs de la série « Maitresse d'un homme marié » : 'Kouko bagn danio xoli sa goome"" - https://senejournal.com/2019/04/04/sensei-rpond-aux-dtracteurs-de-la-srie-maitresse-dun-homme-mari-kouko-bagn-danio-xoli-sa-goome/ …",femme
Pari a  réussi à m'envoyer 3 photos de la soirée de la classe des cm1 cm2!!,femme
"Ça doit se vendre plus cher quand tu dis ""cardeau"" au lieu de ""filet d'sole""\n#onestdescaves #gaveznous",femme
"Marie-José Van Hee – House Declercq, Hansbeke 2014. Photos ©… http://seriouslyarchitecture.com/2019/04/marie-jose-van-hee-house-declercq-hansbeke-2014-photos/ …",femme
"Laisser les gens jouir de leur réussite sans les presser. Tu finis ton bacc, on te demande c'est pour quand la maîtrise. Tu es en couple on demande pour le mariage, une fois marié on presse pour un enfant. T'as pas trimer dure avec moi, mets-moi pas de pression.",femme
Je ferai partie du panel « Femmes en devenir » pour Le Code Des Filles à Laurier Québec ce samedi! Un évènement pour les enfants de 3 ans et plus!  http://www.lcdf.ca/ ,femme
"Ce soir à l’émission de DENIS_LÉVESQUE à TVA, Soulaf et Chahira Battou ont affirmé qu’elles n’enlèveraient pas leur voile pour enseigner même si la Loi sur la laïcité entre en vigueur. Mme. Battou a même dit qu’elle ira travailler…",femme
Dixit un des libéraux hypocrites qui ont laissé pourrir la situation pdt 10ans...\nAllez au diable le #PLQ on vs a sacré dehors cul par-dessus tête mais vs êtes trop imbus de vs mêmes pr avoir compris le message....\nSales vendus,femme
Vous croyez que si norman déteste les bilingues c'est parce qu'ils peuvent utiliser deux langues en même temps et donc gérer deux fois plus de mineures ?,femme
Film intéressant et remarquable performance d’acteur. Mais il donne l’impression que Cheney est le spin doctor du néoconservatisme à lui tout seul ou presque. Le rôle des think tanks pro-républicains par ex est à peine évoqué. Dommage,femme
Elle a parfaitement raison... aucune religion n'a accepté que deux personnes de même sexe se marie... C'est bien écrit dans la bible comme dans le coran !!! Après tu es libre de défendre qui tu veux,femme
"...ce qui n'est bien sûr pas déshonorable, mais pour un fils de PU-PH placé à Henri IV et marié à sa prof, ben statistiquement comment dire... Peut mieux faire ! 8/20 ",femme
#PleniereCTM Le Conseiller Exécutif Daniel Marie-Sainte a informé les élus de l'Assemblée sur la somme des commandes passées du 1 janvier au 15 mars 2019:  Plus de 1 947 813.72€ ttc pic.twitter.com/jITeTgLh3K,femme
Faque qu'on vienne pas m'écoeurer que je sois en total désaccord que une enseignante voilée enseigne à mes enfants !\nC'est NON et en majuscule !,femme
"Halima de la série « Maitresse d’un homme marié » : Nous on travaille, on ne parle pas.’ https://www.dakarmidi.net/videos/halima-de-la-serie-maitresse-dun-homme-marie-nous-on-travaille-on-ne-parle-pas/ …",femme
Voilà. J’ai -enfin- terminé mon livre sur Marie-Antoinette. Mon état émotionnel est comme sur la photo. Et je vais -évidemment- enchaîner mes lectures en lisant un livre sur les reines de France à partir du XVIe siècle au temps des Valois ,femme
#laïcité \nSimple comme bonjour \nDemandez à des parents de confession musulmane si Ils accepteraient que ce soit une bonne soeur (avec tout le kit)qui enseignait à leurs enfants!!??\nBen evidamment que non!\nComme un protestants à  un catho\nComme un musulmans à un juif!\n#Hypocrites,femme
J'essaie de dormir depuis toute à l'heure Mais je reviens ici pour vous partager une idée qui m'a fait hurler de rire tout seul: imaginez linksthesun qui fait une vidéo sur PNL \n\nVoilà cest tout,femme
si à mon mariage y’a pas ce son à quoi ça sert je me marie ,femme
Commentateur de foot Us  ... tout est dans le détail ! #femininworldcup #denver #colorado,femme
Big up à Marie Sophie Ferdane que j'ai eu la chance de voir 2 fois sur scène. Mon nouveau crush au talent fou ,femme
Se marier est un combat ds lequel on a besoin de fidèles alliés. Par une prière ou un simple encouragement soyez ce best man cette dame de compagnie qui va tenir la main du marié/de la mariée pr le grd jr.\nSoyez cette bénédiction pr laquelle il remerciera le Ciel en ce jr spécial ,femme
la vérité c’est que sans toi y a comme un vide bébé,femme
"Aujourd'hui, première rencontre du Groupe de Travail Canola au sein duquel nous collaborons et sommes pleinement engagés pour résoudre la question du #canola avec la Chine !",femme
"Mon ex elle sait marié, elle a divorcé et elle revient vers moi... Comment te dire gentiment d’aller ntm en vitesse ?",femme
"Nous @lesRepublicains, nous savons ce que nous voulons pour l'Europe, le meilleur des 12, @fxbellamy \n#JeVoteLR #AvecBellamy #LEmissionPolitique",femme
"La conclusion de @FXBellamy : ""Nous ne pouvons pas inventer notre avenir sans une alliance forte en Europe"" #LEmissionpolitique ",femme
#Glucksmann n'est pas un pro il le dit mais il a la démarche la plus sincère et la plus cohérente face à l'#UrgenceEcologique #LEmissionPolitique #CombatsCommuns,femme
"Maho et son meilleur pote, on dirait trop deux sales gosses qui font style d'être sages.",femme
"1ere journée incroyable au lycée @leclerc_saverne: place des femmes en #Chimie, inauguration du couloir Mendeleïev, conférence puis échanges autour d'1 repas avec Jean-Marie Lehn (#nobel de Chimie 1987)... Et ça continue demain! #SoExcited\nVive l'#AnneeDeLaChimie! #GracealaChimie",femme
"#LEmissionPolitique\nSur l'écologie et le glyphosate  comme sur tout l'échange @IanBrossat domine le débat à gauche par sa cohérence politique, sa colonne vertébrale anti austeritaire et sa démonstration nette et argumentée. Juste bravo!! \n#EuropeDesGens",femme
Les gens qui ne bossent pas ( mais qui peuvent) et qui se plaignent de pas avoir de thune et trouve le culot de te dire «  ah ça va la vie est belle pour toi «  bah ouais enculé et je vais te donner mon secret :  moi je bosse,femme
"Tellement fière de toi mon Racing, prise au #TopOfTheRock  ce matin après la victoire, @RCSA à des milliers de kilomètres je suis trop heureuse! Et fière de notre chemin  la tête ds les étoiles #RCSASDR",femme
"Double plaisir du jeudi soir, réfêter mon anniversaire avec des amis dans leur magnifique restaurant, et comme ils me connaissent recevoir un beau cadeau ",femme
"Au fait, @benoithamon, lutter contre les écocides, c'est notre candidate @marietouss1 qui l'a proposé en premier.",femme
"#GrandDebat: le pauvre #Bellamy est laminé. Dès qu’il ouvre la bouche, se trouve toujours qqu’un pour opposer à son joli programme les votes exactement contraires des euro-députés de son parti. Tout débat contradictoire fragilisant ses arguments, la campagne sera pour lui cruelle",femme
"Les @GJaunes sont nos amis et nos camarades, le smic européen moi je l’envisage au niveau du Luxembourg  avec @IanBrossat!\n #EuropeDesGens #LEmissionPolique",femme
"5ème café, j'suis partagée entre dormir parce que je le lève à 5H demain.... Ou attendre 00H00 pour PNLMusic\n#qlf Bibi452",femme
Nous avons assisté ce soir à la Paillade à un grand moment de #democratie Le vrai #DEBAT était ce soir à @montpellier_ #Tolerance #VivreEnsemble avec @Saurel_P,femme
Nous serons leur cauchemar à ces lobbies plus que jamais au service des peuples européens ! Et pas d’amalgames bienvenue aux ONG! GAFAM non! #LEmissionPolitique #EuropeDesGens,femme
".@IanBrossat dénonce la forte influence des lobbies à Bruxelles : ""C'est comme si on avait confié à Dracula le camion du don du sang"" #LEmissionpolitique ",femme
"#DupontAignan ou  la machine à #fakenews : 1,8 millions de #Migrant sont venus dans la detresse et dans l'espoir de construire une vie meilleure en #Europe et non 18 millions. #EuropeDesGens https://www.lemonde.fr/europe/article/2018/06/28/migrations-vers-l-europe-les-chiffres-et-les-routes_5322410_3214.html … via @lemondefr",femme
Avec @IanBrossat je vous propose d’être le cauchemar des lobbyistes ! Je ne me suis pas couchée devant la 1ère fortune française! (et 4ème fortune mondiale) Comptez sur moi ! #EuropeDesGens #LEmissionPolitique,femme
"Journée de rencontres et de découverte à l'ensemble scolaire Maintenon de Sommieres. \nMerci à Marie-Hélène et à Karine, ainsi qu'à leurs dynamiques équipes pour leur accueil. #mericiens #insieme",femme
Très fière d’être aux côtés @IanBrossat et Lassana Bathily. Oui nous devons assumer notre devoir de solidarité envers les http://xn--exil-epa.esexilé.es  et les http://xn--rfugi-bsae.esréfugié.es . Nous n’avons rien de commun avec ces autres têtes de listes. #EuropedesGens #LEmissionPolitique,femme
"""Nous respectons la souveraineté des Britanniques. Cela veut dire que le débat ne consiste pas à savoir si les Britanniques ont eu, ou non, une bonne idée. La question du Brexit, aujourd'hui, est française.""\n#AvecBellamy #LEmissionPolitique pic.twitter.com/dGVUSsnuL3",femme
"#FRAJAP #FRAJPN Eugénie Le Sommer avait déjà claqué une reprise spontanée face au Japon. \nC'était lors des demies des JO 2012 à Londres. Récupération d'Elise Bussaglia, relai de Marie-Laure Délie, centre d'Elodie Thomis. \nMais défaite des Bleues ce jour là (1-2). @ELS_9_FRANCE",femme
"#1GM Carte postale adressée le 4 septembre 14 à mon AG tante Juliette Leroy par Marie Stanislas Jean de Milleville, prêtre et Poilu, 3e Section d'Infirmiers Militaires ""Nous avons eu beaucoup de blessés et par conséquent passablement de travail"".\nMais où est-il sur cette photo ? ",femme
"@fxbellamy  : « L’Europe n’est pas seulement un projet, c’est une civilisation. Soit l’Europe changera, soit elle disparaîtra. » #AvecBellamy #LEmissionpolitique",femme
"#1J1Ancetre le 04/04/1869 mourait à Plaisance (86) Jeanne RABILLAT (sosa 119), âgée de 48 ans, native de Saulgé, fille de Jean RABILLAC et de Marie MOREAU, épouse de Jean AUGRY cultivateur. Je descends de leur fille Louise AUGRIS. ",femme
"dsl mais les meilleurs billboards resteront tjrs ceux de 2017, sah l’ambiance etait trop cool yavait que des fr sur le live",femme
"#LEmissionpolitique Hé @NathalieLoiseau, moi aussi j ai mes graines de piment ROUGE celle de mes camarades du @ptbbelgique et d'une gauche qui pique face à l'Europe du fric!! @IanBrossat #EuropeDesGens",femme
" Crédit photo Marie Pilli PuigVue sur la Dame de Fer du pont NeufSunset sur Paris Douce soirée à tous,mes chers twitterfriends ! ",femme
omggg faut absolument qu’on ait une deuxieme version de cette video au stade de france les gars,femme
"L’Association congolaise pour l’accès à la justice (ACAJ) pense que les allégations de Jean-Marie #Kassamba , directeur de Télé 50 concernant des possibles pressions exercées sur son média et la coupure de son signal ne sont pas fondées. @KapiambaGeorges https://www.mediacongo.net/article-actualite-49621_acaj_les_allegations_de_jm_kassamba_sur_la_coupure_du_signal_de_tele_50_ne_sont_pas_fondees.html …",femme
Au QG pour supporter @dupontaignan sur @France2tv dans #LEmissionPolitique \n\nEn avant pour les #Europeennes2019 avec #DupontAignan,femme
"La semaine artistique et culturelle bat son plein, bonne humeur et implication pour le climat scolaire et la réussite.",femme
"Scuze nous Brad Pitt, mais personne ici n’en a rien eu à foutre de ton numéro....\n« Avant qu’on soit trop connu... »  kitchendiet ça marche pas non plus sur les chevilles visiblement #MavaChou",femme
#GrandeRue_ Marie Daguerre relate son agression dans l’espace public parisien et le combat qu’elle a engagé @GrandeRue_,femme
Super succès pour ce premier #AperoRH du 78 :-) trop contents avec @TMartin_HR,femme
"Rejoignez Lindsey Sikora (@LindyRexie),  Marie-Cécile Domecq, et Karine Fournier (@karoufe) pour ""Planifiez votre revue systématique"" notre offre de formation continue en français.\n\nPlus de détails ici : https://www.chla-absc.ca/ac_fc.php \n\n#canmedlibs \n#chlaabsc19",femme
L’#art en partage au lycée Pierre et Marie Curie @villedementon Performance très réussie avec une grande participation M. Contoli professeur d’arts plastiques traite ainsi d’une manière expérimentale une question du baccalauréat avec des élèves très autonomes et engagés,femme
"Archives , Depuis on est beaucoup plus humain , comme chacun peut le constater ..",femme
Avec ça on se demande pourquoi le nombre de divorce augmente au fil des ans\nTu penses que tu as marié Beyonce djaaa c’est Nash qui est en bas \n ,femme
Abon ? Des GJ sont assassinés en allant chercher leur nouvelle carte d’identité en mairie ?,femme
"hommage vibrant à l’architecte & ingénieur roland schweitzer, grand  acteur de la filière #bois, par sa fille marie et le japonais kazumasa watanabe @nvbcom_fr",femme
#TechOff2019 Le CEO de @Ownest_io gagnant du TechOff2018 explique le déroulement de son année. Encore bravo ,femme
"« Regardez l’histoire : Judas a trahi, Pierre a renié; mais n’oublions pas que Marie et Jean étaient au pied de la Croix. » ?@MagLincorrect?",femme
"Connaissant Netflix, la série va avoir deux saisons max et après sera annulée parce qu'elle marche pas assez alors qu'ils auront fait 0 promos dessus.",femme
"Netflix développe une nouvelle série animée #LGBTQ pour adulte nommée ""Q-Force"" et centrée sur un agent secret et son équipe de supers-espions LGBTQ.…",femme
#TechOff2019 Connaissez ces @Cleed_com ? Les retailers vont être gâtés ! #retail #habillement cc @JeromeMONANGE,femme
"le problème si je me marie avec un homme beau c'est que des femmes vont le regarder, jv vite m'énerver.",femme
"L’Happy Hour RH du 78 demarre gaiement ! Ca parle innovation dans le parcours d’intégration, recrutement, sourcing et développement RH ! #networking",femme
